 -Devices.Blinds@7291c18f| Electricity:0| Water:0| Money:0
 -Devices.Heater@34a245ab| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@7cc355be| Electricity:1050| Water:0| Money:0
 -Devices.Computer@6e8cf4c6| Electricity:160| Water:0| Money:0
 -Devices.Illumination@12edcd21| Electricity:0| Water:0| Money:0
 -Devices.Blinds@34c45dca| Electricity:0| Water:0| Money:0
 -Devices.Heater@52cc8049| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@5b6f7412| Electricity:1050| Water:0| Money:0
 -Devices.Computer@27973e9b| Electricity:160| Water:0| Money:0
 -Devices.Illumination@312b1dae| Electricity:0| Water:0| Money:0
 -Devices.Blinds@7530d0a| Electricity:0| Water:0| Money:0
 -Devices.Heater@27bc2616| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@3941a79c| Electricity:1050| Water:0| Money:0
 -Devices.Fridge@506e1b77| Electricity:0| Water:0| Money:0
 -Devices.Microwave@4fca772d| Electricity:0| Water:0| Money:0
 -Devices.Plate@9807454| Electricity:210| Water:0| Money:0
 -Devices.Teapot@3d494fbf| Electricity:20| Water:10| Money:0
 -Devices.Illumination@1ddc4ec2| Electricity:0| Water:0| Money:0
 -Devices.Blinds@133314b| Electricity:0| Water:0| Money:0
 -Devices.Heater@b1bc7ed| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@7cd84586| Electricity:1050| Water:0| Money:0
 -Devices.Fridge@30dae81| Electricity:0| Water:0| Money:0
 -Devices.Microwave@1b2c6ec2| Electricity:0| Water:0| Money:0
 -Devices.Plate@4edde6e5| Electricity:210| Water:0| Money:0
 -Devices.Teapot@70177ecd| Electricity:20| Water:10| Money:0
 -Devices.Illumination@1e80bfe8| Electricity:0| Water:0| Money:0
 -Devices.Blinds@66a29884| Electricity:0| Water:0| Money:0
 -Devices.Heater@4769b07b| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@cc34f4d| Electricity:1050| Water:0| Money:0
 -Devices.Computer@17a7cec2| Electricity:160| Water:0| Money:0
 -Devices.Illumination@65b3120a| Electricity:0| Water:0| Money:0
 -Devices.Blinds@6f539caf| Electricity:0| Water:0| Money:0
 -Devices.Heater@79fc0f2f| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@50040f0c| Electricity:1050| Water:0| Money:0
 -Devices.Computer@2dda6444| Electricity:160| Water:0| Money:0
 -Devices.Illumination@5e9f23b4| Electricity:0| Water:0| Money:0
 -Devices.Blinds@4783da3f| Electricity:0| Water:0| Money:0
 -Devices.Heater@378fd1ac| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@49097b5d| Electricity:1050| Water:0| Money:0
 -Devices.Computer@6e2c634b| Electricity:160| Water:0| Money:0
 -Devices.Illumination@37a71e93| Electricity:0| Water:0| Money:0
 -Devices.Blinds@7e6cbb7a| Electricity:0| Water:0| Money:0
 -Devices.Heater@7c3df479| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@7106e68e| Electricity:1050| Water:0| Money:0
 -Devices.Fridge@7eda2dbb| Electricity:0| Water:0| Money:0
 -Devices.Microwave@6576fe71| Electricity:0| Water:0| Money:0
 -Devices.Plate@76fb509a| Electricity:210| Water:0| Money:0
 -Devices.Teapot@300ffa5d| Electricity:20| Water:10| Money:0

totalElectricity: 29530| totalWater: 70| TotalMoney: 20000
